name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.max aligndot,O.avg aligndot,O.min aligndot,O.max aligncos,O.avg aligncos,O.min aligncos,O.centering_ratio,OC.max norm,OC.avg norm,OC.min norm,OC.mu norm,OC.ratio norm,OC.max aligndot,OC.avg aligndot,OC.min aligndot,OC.max aligncos,OC.avg aligncos,OC.min aligncos,OC.centering_ratio,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor40a-16M-13p1B-100k-bs64-lr10-baselinewt-g0e+00-s1,3.850,3.850,46.981,,,-,-,-,-,-,0.130,4.239,2.184,0.938,1.838,0.841,-0.0808,-3.0240,,-,0.130,4.239,2.184,0.938,1.838,0.841,6.952,3.376,-1.942,0.974,0.828,-0.500,0.765,3.623,1.251,0.519,0.000,0.000,3.576,0.000,-5.319,0.858,-0.015,-0.885,1.000,-0.0808,-3.0240,,,,,,,2.16,432.00,0.50%,-3.0312,2.8281,7.9062,0.2852,7.2500,20.7500,278.0,4763.2
wor40a-16M-13p1B-100k-bs64-lr100-baselinewt-g0e+00-s1,3.840,3.840,46.522,,,-,-,-,-,-,0.000,40.286,20.295,7.913,17.817,0.878,0.0507,15.5190,,-,0.000,40.286,20.295,7.913,17.817,0.878,638.729,317.440,-177.285,0.976,0.866,-0.612,0.775,32.596,10.713,5.141,0.000,0.000,321.290,0.001,-494.724,0.867,-0.039,-0.924,1.000,0.0507,15.5190,,,,,,,5.46,4181.38,0.13%,15.5000,3.5781,12.6250,0.5508,17.3750,34.7500,1328.0,4754.7
wor40a-16M-13p1B-100k-bs64-lr1000-baselinewt-g0e+00-s1,3.935,3.935,51.139,,,-,-,-,-,-,0.000,353.846,198.634,115.100,175.235,0.882,0.1183,224.5721,,-,0.000,353.846,198.634,115.100,175.235,0.882,53579.031,30707.250,1968.804,0.970,0.873,0.074,0.536,223.629,99.368,43.036,0.001,0.000,22871.732,-0.050,-28738.498,0.633,-0.012,-0.774,1.000,0.1183,224.5721,,,,,,,56.02,40679.18,0.14%,225.0000,5.1875,115.0000,2.5781,225.0000,244.0000,73728.0,4749.2
wor40a-16M-13p1B-100k-bs64-lr3-baselinewt-g0e+00-s1,3.919,3.919,50.332,,,-,-,-,-,-,0.335,2.222,1.252,0.447,1.123,0.897,-0.2115,-5.3848,,-,0.335,2.222,1.252,0.447,1.123,0.897,2.229,1.261,-1.235,0.984,0.881,-0.712,1.120,2.596,0.613,0.236,0.000,0.000,0.968,-0.000,-2.496,0.909,-0.013,-0.938,1.000,-0.2115,-5.3848,,,,,,,1.82,264.04,0.69%,-5.3750,2.5000,4.5625,0.2012,6.5000,17.5000,158.0,4749.2
wor40a-16M-13p1B-100k-bs64-lr30-baselinewt-g0e+00-s1,3.832,3.832,46.147,,,-,-,-,-,-,0.013,12.596,6.313,2.261,5.472,0.867,-0.0509,-3.4655,,-,0.013,12.596,6.313,2.261,5.472,0.867,61.241,29.945,-22.407,0.976,0.850,-0.617,0.855,11.073,3.499,1.498,0.000,0.000,31.296,0.000,-52.352,0.886,-0.033,-0.918,1.000,-0.0509,-3.4655,,,,,,,3.81,1303.05,0.29%,-3.4688,3.0625,10.8750,0.3516,9.5625,24.0000,336.0,4753.7
wor40a-16M-13p1B-100k-bs64-lr300-baselinewt-g0e+00-s1,3.840,3.840,46.506,,,-,-,-,-,-,0.000,110.330,57.158,26.562,51.202,0.896,0.1613,49.5862,,-,0.000,110.330,57.158,26.562,51.202,0.896,4933.826,2621.648,-890.622,0.965,0.885,-0.378,0.712,86.009,28.167,14.939,0.000,0.000,2312.169,-0.008,-3512.278,0.777,-0.032,-0.877,1.000,0.1613,49.5862,,,,,,,25.20,11957.88,0.21%,49.5000,3.6562,27.6250,0.5781,50.5000,68.0000,5504.0,4755.2
wor40a-16M-13p1B-100k-bs64-lr3000-baselinewt-g0e+00-s1,3.906,3.906,49.701,,,-,-,-,-,-,0.000,826.189,425.104,249.676,353.045,0.830,0.2101,91.3558,,-,0.000,826.189,425.104,249.676,353.045,0.830,247950.312,124640.609,-19828.734,0.957,0.817,-0.130,0.583,591.599,249.573,111.543,0.002,0.000,123309.852,0.158,-144469.188,0.660,-0.015,-0.751,1.000,0.2101,91.3558,,,,,,,188.51,82951.41,0.23%,91.5000,3.5625,45.5000,0.9023,91.5000,109.0000,14336.0,4760.2
wor40e-16M-13p1B-100k-bs64-lr10-mulosswt-g1e-04-s1,3.848,3.848,46.887,,,-,-,-,-,-,0.136,4.183,2.155,0.926,1.828,0.848,-0.1678,-5.3360,,-,0.136,4.183,2.155,0.926,1.828,0.848,6.471,3.340,-2.007,0.980,0.837,-0.520,0.826,3.577,1.206,0.488,0.000,0.000,3.131,0.000,-5.347,0.834,-0.010,-0.883,1.000,-0.1678,-5.3360,,,,,,,2.38,426.76,0.56%,-5.3438,2.7344,7.4375,0.2617,7.9375,20.5000,206.0,4787.4
wor40e-16M-13p1B-100k-bs64-lr100-mulosswt-g1e-04-s1,3.845,3.845,46.776,,,-,-,-,-,-,0.000,83.750,16.904,7.927,11.324,0.670,0.1394,15.4866,,-,0.000,83.750,16.904,7.927,11.324,0.670,262.406,128.222,-184.916,0.930,0.743,-0.412,1.193,86.589,11.635,5.252,0.000,0.000,134.184,-0.000,-313.139,0.580,0.038,-0.797,1.000,0.1394,15.4866,,,,,,,9.14,3160.45,0.29%,15.5000,3.3906,19.0000,0.6016,21.0000,37.2500,1528.0,4787.7
wor40e-16M-13p1B-100k-bs64-lr1000-mulosswt-g1e-04-s1,3.833,3.833,46.217,,,-,-,-,-,-,0.000,145.238,69.730,36.460,19.704,0.283,-0.6941,-26.6981,,-,0.000,145.238,69.730,36.460,19.704,0.283,566.651,388.248,110.149,0.525,0.293,0.052,0.491,142.949,66.785,31.035,0.000,0.000,178.401,-0.002,-278.101,0.082,-0.002,-0.158,1.000,-0.6941,-26.6981,,,,,,,42.86,7006.32,0.61%,-26.7500,3.1875,18.0000,0.7227,29.5000,45.2500,432.0,4773.2
wor40e-16M-13p1B-100k-bs64-lr3-mulosswt-g1e-04-s1,3.918,3.918,50.304,,,-,-,-,-,-,0.297,2.171,1.268,0.463,1.138,0.898,-0.1993,-5.2583,,-,0.297,2.171,1.268,0.463,1.138,0.898,2.304,1.295,-1.259,0.985,0.881,-0.706,1.109,2.610,0.618,0.218,0.000,0.000,1.008,0.000,-2.554,0.903,-0.009,-0.937,1.000,-0.1993,-5.2583,,,,,,,1.80,267.49,0.67%,-5.2500,2.5000,4.8438,0.2031,6.5312,17.5000,163.0,4777.8
wor40e-16M-13p1B-100k-bs64-lr30-mulosswt-g1e-04-s1,3.832,3.832,46.161,,,-,-,-,-,-,0.004,10.484,5.624,2.850,4.583,0.815,0.0211,1.2133,,-,0.004,10.484,5.624,2.850,4.583,0.815,39.940,21.006,-8.985,0.961,0.808,-0.300,0.751,9.397,3.384,1.659,0.000,0.000,18.934,0.000,-29.991,0.688,-0.023,-0.826,1.000,0.0211,1.2133,,,,,,,4.38,1062.75,0.41%,1.2109,3.0625,12.8125,0.3750,9.9375,25.1250,544.0,4775.2
wor40e-16M-13p1B-100k-bs64-lr300-mulosswt-g1e-04-s1,3.833,3.833,46.216,,,-,-,-,-,-,0.000,345.463,44.967,19.650,16.854,0.375,-0.0324,-2.7563,,-,0.000,345.463,44.967,19.650,16.854,0.375,494.432,284.056,-801.840,0.791,0.490,-0.138,1.354,348.184,40.210,13.119,0.000,0.000,210.376,0.000,-1085.897,0.283,0.038,-0.538,1.000,-0.0324,-2.7563,,,,,,,17.13,12106.48,0.14%,-2.7656,3.2500,15.8750,0.5547,13.5625,29.1250,532.0,4776.3
wor40e-16M-13p1B-100k-bs64-lr3000-mulosswt-g1e-04-s1,3.849,3.849,46.943,,,-,-,-,-,-,0.000,359.057,148.182,88.286,7.120,0.048,0.3621,4.2355,,-,0.000,359.057,148.182,88.286,7.120,0.048,355.095,50.701,-402.174,0.182,0.044,-0.308,1.126,358.279,148.049,88.645,0.000,0.000,304.393,-0.000,-452.875,0.155,-0.006,-0.342,1.000,0.3621,4.2355,,,,,,,104.26,13595.99,0.77%,4.2188,3.1094,8.5625,0.7031,7.9062,25.1250,596.0,4785.8
wor40r-16M-13p1B-100k-bs64-lr10-mucenteringwt-g0e+00-s1,3.850,3.850,47.011,,,-,-,-,-,-,0.777,3.957,1.188,0.552,0.000,0.000,-0.0019,-0.0000,,-,0.777,3.957,1.188,0.552,0.000,0.000,0.000,0.000,-0.000,0.365,0.009,-0.326,1.000,3.957,1.188,0.552,0.000,0.000,0.000,-0.000,-0.000,0.365,0.009,-0.326,1.000,-0.0019,-0.0000,,,,,,,2.11,155.86,1.36%,0.0000,2.7812,0.0001,0.2617,2.1719,15.9375,302.0,4781.2
wor40r-16M-13p1B-100k-bs64-lr100-mucenteringwt-g0e+00-s1,3.827,3.827,45.919,,,-,-,-,-,-,0.000,33.049,10.879,5.462,0.000,0.000,-0.0443,-0.0000,,-,0.000,33.049,10.879,5.462,0.000,0.000,0.000,-0.000,-0.000,0.321,-0.001,-0.280,1.000,33.049,10.879,5.462,0.000,0.000,0.000,-0.000,-0.000,0.321,-0.001,-0.280,1.000,-0.0443,-0.0000,,,,,,,8.36,1428.24,0.59%,0.0003,3.3438,0.0003,0.4883,2.6250,18.1250,342.0,4791.2
wor40r-16M-13p1B-100k-bs64-lr1000-mucenteringwt-g0e+00-s1,3.836,3.836,46.326,,,-,-,-,-,-,0.000,229.344,85.721,39.856,0.000,0.000,-0.1945,-0.0000,,-,0.000,229.344,85.721,39.856,0.000,0.000,0.003,0.000,-0.003,0.362,0.010,-0.371,1.000,229.344,85.721,39.856,0.000,0.000,0.003,-0.000,-0.003,0.362,0.010,-0.371,1.000,-0.1945,-0.0000,,,,,,,43.72,12250.21,0.36%,-0.0002,3.2188,0.0011,0.8047,2.5156,17.5000,346.0,4786.2
wor40r-16M-13p1B-100k-bs64-lr3-mucenteringwt-g0e+00-s1,3.921,3.921,50.466,,,-,-,-,-,-,0.937,2.248,0.607,0.283,0.000,0.000,-0.0150,-0.0000,,-,0.937,2.248,0.607,0.283,0.000,0.000,0.000,0.000,-0.000,0.330,-0.005,-0.307,1.000,2.248,0.607,0.283,0.000,0.000,0.000,-0.000,-0.000,0.330,-0.005,-0.307,1.000,-0.0150,-0.0000,,,,,,,1.91,79.68,2.40%,0.0000,2.5781,0.0000,0.2119,2.0156,15.3125,286.0,4792.7
wor40r-16M-13p1B-100k-bs64-lr30-mucenteringwt-g0e+00-s1,3.829,3.829,46.024,,,-,-,-,-,-,0.129,10.308,3.187,1.379,0.000,0.000,-0.0582,-0.0000,,-,0.129,10.308,3.187,1.379,0.000,0.000,0.000,-0.000,-0.000,0.252,-0.005,-0.229,1.000,10.308,3.187,1.379,0.000,0.000,0.000,-0.000,-0.000,0.252,-0.005,-0.229,1.000,-0.0582,-0.0000,,,,,,,3.20,425.67,0.75%,-0.0000,3.1094,0.0003,0.4238,2.4219,16.7500,324.0,4784.7
wor40r-16M-13p1B-100k-bs64-lr300-mucenteringwt-g0e+00-s1,3.836,3.836,46.323,,,-,-,-,-,-,0.000,79.487,29.414,11.976,0.000,0.000,-0.1547,-0.0000,,-,0.000,79.487,29.414,11.976,0.000,0.000,0.000,0.000,-0.000,0.368,0.009,-0.372,1.000,79.487,29.414,11.976,0.000,0.000,0.000,-0.000,-0.000,0.368,0.009,-0.372,1.000,-0.1547,-0.0000,,,,,,,17.63,4058.37,0.43%,0.0000,3.3906,0.0006,0.5352,2.6562,17.8750,346.0,4786.2
wor40r-16M-13p1B-100k-bs64-lr3000-mucenteringwt-g0e+00-s1,3.892,3.892,49.023,,,-,-,-,-,-,0.000,513.339,206.634,107.619,0.000,0.000,-0.2903,-0.0000,,-,0.000,513.339,206.634,107.619,0.000,0.000,0.017,0.000,-0.017,0.440,0.018,-0.437,1.000,513.339,206.634,107.619,0.000,0.000,0.017,-0.000,-0.017,0.440,0.018,-0.437,1.000,-0.2903,-0.0000,,,,,,,159.91,26116.70,0.61%,-0.0002,3.2500,0.0005,0.7500,2.5469,17.6250,346.0,4786.7
wor40s-16M-13p1B-100k-bs64-lr10-softcappingwt-g3e+01-s1,3.847,3.847,46.865,,,-,-,-,-,-,0.138,5.205,2.319,0.878,2.034,0.877,-0.1478,-6.5922,,-,0.138,5.205,2.319,0.878,2.034,0.877,9.146,4.137,-2.546,0.984,0.861,-0.574,0.731,3.843,1.260,0.526,0.000,0.000,5.009,0.000,-6.683,0.934,-0.049,-0.917,1.000,-0.1478,-6.5922,,,,,,,1.78,484.75,0.37%,-6.5938,3.0781,3.0625,0.3574,6.8438,20.8750,145.0,5292.7
wor40s-16M-13p1B-100k-bs64-lr100-softcappingwt-g3e+01-s1,3.828,3.828,45.953,,,-,-,-,-,-,0.001,45.195,21.082,7.484,18.683,0.886,-0.0827,-10.4518,,-,0.001,45.195,21.082,7.484,18.683,0.886,782.484,349.055,-218.978,0.976,0.870,-0.624,0.726,35.794,11.279,4.699,0.000,0.000,433.429,0.001,-568.032,0.887,-0.062,-0.922,1.000,-0.0827,-10.4518,,,,,,,8.56,4471.02,0.19%,-10.4375,3.6562,5.0312,0.5234,10.6875,29.5000,112.5,5285.7
wor40s-16M-13p1B-100k-bs64-lr1000-softcappingwt-g3e+01-s1,3.840,3.840,46.540,,,-,-,-,-,-,0.000,348.946,175.112,62.700,155.177,0.886,-0.0067,-5.6439,,-,0.000,348.946,175.112,62.700,155.177,0.886,48078.535,24079.984,-5518.558,0.970,0.868,-0.297,0.616,222.904,93.793,43.688,0.000,0.000,23998.566,0.011,-29598.531,0.812,-0.037,-0.924,1.000,-0.0067,-5.6439,,,,,,,21.83,36974.39,0.06%,-5.6562,3.9688,5.3125,1.0000,6.7500,25.3750,272.0,5287.7
